151|We’ll show how Bilingvo translates speech and materials into your chosen languages and discuss connecting it at your venue.|Nous montrerons comment Bilingvo traduit la parole et les supports dans les langues souhaitées et discuterons de la connexion sur votre site.|Te mostraremos cómo Bilingvo traduce voz y materiales a los idiomas que necesitas y hablaremos de la conexión en tu recinto.|我们将展示Bilingvo如何将语音和资料翻译成您所需的语言，并讨论场地接入方案。|سنوضح كيف يترجم Bilingvo الكلام والمواد إلى اللغات المطلوبة ونناقش توصيله في مكان الفعالية.
152|What we’ll show and discuss|Ce que nous montrerons et aborderons|Qué mostraremos y trataremos|演示与讨论内容|ما سنعرضه ونناقشه
153|Speech and material translation|Traduction de la parole et des supports|Traducción de voz y materiales|语音与资料翻译|ترجمة الكلام والمواد
154|Listener access via browser|Accès des auditeurs par navigateur|Acceso del oyente desde el navegador|听众通过浏览器接入|وصول المستمع عبر المتصفح
155|Translation of your industry terminology|Traduction des termes de votre secteur|Traducción de términos de tu sector|您的行业术语翻译|ترجمة مصطلحات قطاعك
156|Audio connection at the venue|Raccordement audio sur place|Conexión de sonido en el recinto|场地音频接入|توصيل الصوت في المكان
157|Installation on your servers, if needed|Installation sur vos serveurs, si nécessaire|Instalación en tus servidores, si es necesaria|按需部署在您的服务器上|التثبيت على خوادمك عند الحاجة
158|Launch preparation|Préparation du lancement|Preparación del lanzamiento|上线准备|التحضير للإطلاق
159|Company details|Informations légales|Datos de la empresa|公司信息|بيانات الشركة
160|Consent to personal data processing|Consentement au traitement des données personnelles|Consentimiento para el tratamiento de datos personales|个人数据处理同意书|الموافقة على معالجة البيانات الشخصية
161|Privacy policy|Politique de confidentialité|Política de privacidad|隐私政策|سياسة الخصوصية
162|A product by Agropromcifra JSC · 2026|Un produit d’Agropromcifra SA · 2026|Un producto de Agropromcifra S. A. · 2026|Agropromcifra股份公司产品 · 2026|منتج شركة Agropromcifra المساهمة · 2026
163|Schedule a demo|Planifier une démonstration|Programar una demostración|安排演示|حدد موعدا للعرض
164|We’ll demonstrate Bilingvo in your chosen languages and answer your questions.|Nous présenterons Bilingvo dans les langues souhaitées et répondrons à vos questions.|Te mostraremos Bilingvo en los idiomas que necesitas y responderemos a tus preguntas.|我们将以您所需的语言演示Bilingvo并回答问题。|سنعرض Bilingvo باللغات المطلوبة ونجيب عن أسئلتك.
165|Leave your contact details to arrange a convenient time.|Laissez vos coordonnées pour convenir d’un horaire.|Deja tus datos de contacto para acordar una hora.|请留下联系方式，以便安排合适的时间。|اترك بيانات التواصل لتحديد موعد مناسب.
166|Organization|Organisation|Organización|组织|المؤسسة
167|What would you like to discuss?|De quoi souhaitez-vous parler ?|¿Qué te gustaría tratar?|您想讨论什么？|ما الذي تود مناقشته؟
168|Send request|Envoyer la demande|Enviar solicitud|提交申请|أرسل الطلب
169|Leave your email|Laissez votre e-mail|Deja tu correo electrónico|留下您的邮箱|اترك بريدك الإلكتروني
170|We’ll send a 15-minute rehearsal recording|Nous enverrons un enregistrement de répétition de 15 minutes|Te enviaremos una grabación de ensayo de 15 minutos|我们将发送15分钟的彩排录像|سنرسل تسجيلا للبروفة مدته 15 دقيقة
171|You’ll receive a link to the video.|Vous recevrez un lien vers la vidéo.|Recibirás un enlace al vídeo.|您将收到视频链接。|ستتلقى رابطا للفيديو.
172|Send and get the video|Envoyer et recevoir la vidéo|Enviar y recibir el vídeo|提交并获取视频|أرسل واحصل على الفيديو
173|Request sent|Demande envoyée|Solicitud enviada|申请已发送|تم إرسال الطلب
174|We’ll contact you to arrange a demo time.|Nous vous contacterons pour fixer l’heure de la démonstration.|Nos pondremos en contacto contigo para acordar la hora de la demo.|我们将与您联系，安排演示时间。|سنتواصل معك لتحديد موعد العرض.
175|Close|Fermer|Cerrar|关闭|إغلاق
176|Got it|Compris|Entendido|知道了|حسنا
